sıska sıska+ADJ
sıskalık sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+NOM
sıskalığım sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A1SG
sıskalığız sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A1PL
sıskalığa sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+DAT
sıskalıkta sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+LOC
sıskalığın sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+GEN
sıskalıkla sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+INS
sıskalığım sıska+ADJ^DB+NOUN+NESS+A3SG+P1SG+NOM
sıskalığın sıska+ADJ^DB+NOUN+NESS+A3SG+P2SG+NOM
sıskalığı sıska+ADJ^DB+NOUN+NESS+A3SG+P3SG+NOM
sıskasıyı sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+ACC
sıskasıca sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+EQU
sıskasımı sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P1SG+ACC
sıskasımca sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P1SG+EQU
sıskasını sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P2SG+ACC
sıskasınca sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+P2SG+EQU
sıskasıki sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+REL
sıskasıkü sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+REL
sıskalaşıp sıska+ADJ^DB+VERB+BECOME+POS^DB+ADV+AFTERDOINGSO
sıskalaşar sıska+ADJ^DB+VERB+BECOME+POS+AOR^DB+ADJ+ZERO
